Year,Month,Line,DayType,Riders,Shakeup,Provider,Mode,Days
2023,3,162,DX,7791,202212,DO,Bus,23
2022,3,162,DX,7333,202202,DO,Bus,23
2021,3,45,DX,9645,202012,DO,Bus,23
2022,3,603,DX,7279,202202,PT,Bus,23
2016,8,106,DX,302,201606,DO,Bus,23
2019,10,344,DX,1453,201906,DO,Bus,23
2020,7,60,DX,7978,202006,DO,Bus,23
2018,10,601,DX,1017,201806,DO,Bus,23
2023,8,16,DX,18478,202306,DO,Bus,23
2022,8,602,DX,1022,202206,DO,Bus,23
2018,8,802,DX,135626,201806,DO,Rail,23
2019,10,863,DX,2417,201906,DO,Bus,23
2012,8,217,DX,8889,201206,DO,Bus,23
2016,8,76,DX,9079,201606,DO,Bus,23
2021,3,161,DX,531,202012,DO,Bus,23
2022,8,55,DX,6237,202206,DO,Bus,23
2017,3,501,DX,1396,201612,PT,Bus,23
2018,10,501,DX,1530,201806,PT,Bus,23
2012,10,270,DX,2707.4347826087,201206,PT,Bus,23
2014,10,120,DX,4515,201406,DO,Bus,23
2013,10,751,DX,5979,201306,DO,Bus,23
2009,7,243,DX,2190,200906,DO,Bus,23
2019,10,864,DX,18866,201906,DO,Bus,23
2010,3,687,DX,2069,200912,DO,Bus,23
2010,3,96,DX,2425.86956521739,200912,PT,Bus,23
2011,3,292,DX,2358,201012,DO,Bus,23
2013,10,254,DX,959,201306,PT,Bus,23
2012,10,205,DX,4570.86956521739,201206,PT,Bus,23
2012,10,125,DX,5679.91304347826,201206,PT,Bus,23
2012,10,740,DX,4368,201206,DO,Bus,23
2020,7,66,DX,8112,202006,DO,Bus,23
2018,8,90,DX,6939,201806,DO,Bus,23
2012,10,81,DX,17276,201206,DO,Bus,23
2017,8,128,DX,1197,201706,PT,Bus,23
2011,3,96,DX,2335.39130434783,201012,PT,Bus,23
2020,7,534,DX,823,202006,DO,Bus,23
2010,3,714,DX,3861,200912,DO,Bus,23
2009,7,632,DX,592,200906,DO,Bus,23
2011,3,53,DX,14156,201012,DO,Bus,23
2010,3,728,DX,8754,200912,DO,Bus,23
2018,10,233,DX,12020,201806,DO,Bus,23
2010,3,38,DX,6290,200912,DO,Bus,23
2020,7,611,DX,998,202006,DO,Bus,23
2012,10,156,DX,1945,201206,DO,Bus,23
2019,10,442,DX,183,201906,DO,Bus,23
2014,10,801,DX,85128.5896097427,201406,DO,Rail,23
2019,10,804,DX,42505,201906,DO,Rail,23
2012,10,2,DX,20779,201206,DO,Bus,23
2023,3,35,DX,4298,202212,DO,Bus,23
2017,3,233,DX,12468,201612,DO,Bus,23
2016,3,788,DX,1733,201601,DO,Bus,23
2010,3,163,DX,11468,200912,DO,Bus,23
2018,10,165,DX,8154,201806,DO,Bus,23
2015,7,81,DX,15855,201506,DO,Bus,23
2015,7,485,DX,1385,201506,DO,Bus,23
2016,8,760,DX,4668,201606,DO,Bus,23
2021,3,55,DX,4399,202012,DO,Bus,23
2010,3,258,DX,1732,200912,DO,Bus,23
2014,10,233,DX,13679,201406,DO,Bus,23
2016,3,612,DX,1392,201601,DO,Bus,23
2011,3,9,DX,166.826086956522,201012,PT,Bus,23
2020,7,18,DX,11544,202006,DO,Bus,23
2016,8,154,DX,1006,201606,DO,Bus,23
2009,7,53,DX,10389,200906,DO,Bus,23
2022,8,40,DX,12038,202206,DO,Bus,23
2011,8,201,DX,986,201106,DO,Bus,23
2012,8,71,DX,1959,201206,DO,Bus,23
2023,3,251,DX,12318,202212,DO,Bus,23
2016,3,155,DX,1768,201601,DO,Bus,23
2017,8,740,DX,2548,201706,DO,Bus,23
2023,8,40,DX,13576,202306,DO,Bus,23
2017,3,803,DX,32504,201612,DO,Rail,23
2012,8,605,DX,2231.52173913044,201206,PT,Bus,23
2021,3,260,DX,7388,202012,DO,Bus,23
2019,10,115,DX,14811,201906,DO,Bus,23
2022,3,66,DX,10702,202202,DO,Bus,23
2023,3,802,DX,81162,202212,DO,Rail,23
2020,7,152,DX,4951,202006,DO,Bus,23
2011,3,190,DX,8610,201012,DO,Bus,23
2018,10,167,DX,2537,201806,PT,Bus,23
2017,8,66,DX,11805,201706,DO,Bus,23
2023,8,45,DX,13104,202306,DO,Bus,23
2017,3,251,DX,8664,201612,DO,Bus,23
2012,8,728,DX,5771,201206,DO,Bus,23
2014,10,2,DX,19115,201406,DO,Bus,23
2012,8,18,DX,24554,201206,DO,Bus,23
2022,8,720,DX,19758,202206,DO,Bus,23
2011,8,550,DX,3136,201106,DO,Bus,23
2016,8,211,DX,616,201606,DO,Bus,23
2011,3,222,DX,1346,201012,DO,Bus,23
2023,3,577,DX,753,202212,PT,Bus,23
2017,3,207,DX,17857,201612,DO,Bus,23
2023,8,202,DX,198,202306,DO,Bus,23
2011,8,211,DX,572,201106,DO,Bus,23
2016,3,266,DX,4857,201601,PT,Bus,23
2012,10,209,DX,1173,201206,DO,Bus,23
2009,7,110,DX,9477,200906,DO,Bus,23
2010,3,10,DX,13869,200912,DO,Bus,23
2017,3,209,DX,916,201612,DO,Bus,23
2022,8,90,DX,3979,202206,DO,Bus,23
2020,7,206,DX,4798,202006,DO,Bus,23
